1.	Smith	0.83%	0
2.	Johnson	0.66%	0
3.	Williams	0.55%	0
4.	Brown	0.49%	0
5.	Jones	0.48%	0
6.	Garcia	0.40%	+2
7.	Miller	0.39%	-1
8.	Davis	0.38%	-1
9.	Rodriguez	0.37%	0
10.	Martinez	0.36%	+1
11.	Hernandez	0.35%	+4
12.	Lopez	0.30%	+9
13.	Gonzalez	0.29%	+10
14.	Wilson	0.27%	-4
15.	Anderson	0.27%	-3
16.	Thomas	0.26%	-2
17.	Taylor	0.26%	-4
18.	Moore	0.25%	-2
19.	Jackson	0.24%	-1
20.	Martin	0.24%	-3
21.	Lee	0.24%	+1
22.	Perez	0.23%	+7
23.	Thompson	0.23%	-4
24.	White	0.22%	-4
25.	Harris	0.21%	-1
26.	Sanchez	0.21%	+7
27.	Clark	0.19%	-2
28.	Ramirez	0.19%	+14
29.	Lewis	0.18%	-3
30.	Robinson	0.18%	-3
31.	Walker	0.18%	-3
32.	Young	0.16%	-1
33.	Allen	0.16%	-1
34.	King	0.16%	+1
35.	Wright	0.16%	-1
36.	Scott	0.15%	0
37.	Torres	0.15%	+13
38.	Nguyen	0.15%	+19
39.	Hill	0.15%	+2
40.	Flores	0.15%	+15
41.	Green	0.15%	-4
42.	Adams	0.15%	-3
43.	Nelson	0.14%	-3
44.	Baker	0.14%	-6
45.	Hall	0.14%	-15
46.	Rivera	0.13%	+13
47.	Campbell	0.13%	-4
48.	Mitchell	0.13%	-4
49.	Carter	0.13%	-3
50.	Roberts	0.13%	-5
51.	Gomez	0.12%	+17
52.	Phillips	0.12%	-5
53.	Evans	0.12%	-5
54.	Turner	0.12%	-5
55.	Diaz	0.12%	+18
56.	Parker	0.11%	-5
57.	Cruz	0.11%	+25
58.	Edwards	0.11%	-5
59.	Collins	0.11%	-7
60.	Reyes	0.11%	+21
61.	Stewart	0.11%	-7
62.	Morris	0.11%	-6
63.	Morales	0.11%	+27
64.	Murphy	0.11%	-6
65.	Cook	0.10%	-5
66.	Rogers	0.10%	-5
67.	Gutierrez	0.10%	+29
68.	Ortiz	0.10%	+26
69.	Morgan	0.10%	-7
70.	Cooper	0.10%	-6
71.	Peterson	0.09%	-8
72.	Bailey	0.09%	-6
73.	Reed	0.09%	-8
74.	Kelly	0.09%	-5
75.	Howard	0.09%	-5
76.	Ramos	0.09%	+36
77.	Kim	0.09%	+32
78.	Cox	0.09%	-6
79.	Ward	0.09%	-8
80.	Richardson	0.09%	-6
81.	Watson	0.09%	-5
82.	Brooks	0.09%	-5
83.	Chavez	0.09%	+35
84.	Wood	0.09%	-9
85.	James	0.09%	-5
86.	Bennett	0.08%	-8
87.	Gray	0.08%	-8
88.	Mendoza	0.08%	+46
89.	Ruiz	0.08%	+40
90.	Hughes	0.08%	-7
91.	Price	0.08%	-7
92.	Alvarez	0.08%	+40
93.	Castillo	0.08%	+42
94.	Sanders	0.08%	-6
95.	Patel	0.08%	+77
96.	Myers	0.08%	-11
97.	Long	0.08%	-11
98.	Ross	0.08%	-9
99.	Foster	0.08%	-12
100.	Jimenez	0.08%	+47
101.	Powell	0.08%	-10
102.	Jenkins	0.08%	-7
103.	Perry	0.08%	-6
104.	Russell	0.08%	-11
105.	Sullivan	0.08%	-13
